network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,1-7;2-8,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__2-8
cost239-1,1-7;3-5,2,22,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__3-5
cost239-1,1-7;3-6,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__3-6
cost239-1,1-7;3-7,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__3-7
cost239-1,1-7;3-8,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__3-8
cost239-1,1-7;4-6,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__4-6
cost239-1,1-7;4-7,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__4-7
cost239-1,1-7;4-8,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__4-8
cost239-1,1-7;4-9,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__4-9
cost239-1,1-7;4-10,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__4-10
cost239-1,1-7;5-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__5-6
cost239-1,1-7;5-11,2,22,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__5-11
cost239-1,1-7;6-9,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__6-9
cost239-1,1-7;7-8,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__7-8
cost239-1,1-7;7-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__7-10
cost239-1,1-7;9-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__9-10
cost239-1,1-7;9-11,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__9-11
cost239-1,1-7;10-11,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__10-11
cost239-1,1-11;1-9,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__1-11
cost239-1,1-9;2-3,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__2-3
cost239-1,1-9;2-5,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__2-5
